Identificativo Titolo,Titolo,Natura,Genere 1,age_decade,n,grouped_rowid
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,20,22,14
863474,"*Macerie prime / Zerocalcare. - Ed. regular. - Milano : Bao, 2017. - 185 p. : fumetti ; 25 cm",Monografia,Letteratura per ragazzi,20,21,15
616054,"La *profezia dell'armadillo : colore 8-bit /  Zerocalcare [i.e. Michele Rech]. - Milano : Bao Publishing, 2012. - 143 p. : fumetti ; 24 cm",Monografia,NA,20,20,16
758709,"La *ragazza del treno / Paula Hawkins ; traduzione di Barbara Porteri. - Milano : Piemme, 2015. - 306 p. ; 24 cm",Monografia,NA,20,19,17
413543,"*Lehrbuch C1 / Albert Daniels ... [et al.]. - Barcelona [etc.] : Klett, 2008. - 183 p. : ill. ; 29 cm + 4 compact disc.",Monografia,NA,20,19,18
746986,"3: *Storia di chi fugge e di chi resta : *tempo di mezzo / Elena Ferrante. - Roma : E/O, 2013. - 382 p. ; 21 cm.",Monografia,NA,20,18,19
790382,"L'*elenco telefonico degli accolli : *Zerocalcare.it, dal 4 marzo 2013 al 7 aprile 2015 / Zerocalcare. - Milano : Bao Publishing, 2015. - 193 p. : fumetti ; 24 cm. ((Edizione di 5555 esemplari numerati a mano, con copertina disegnata da Leo Ortolani e colorata da Lorenzo Ortolani.",Monografia,NA,20,18,20
653497,"*Piccolo blu e piccolo giallo / Leo Lionni. - Milano : Babalibri, 1999. - 1 volume : in gran parte ill. ; 21 x 21 cm",Monografia,Letteratura per ragazzi,30,64,1
853657,"*Nel paese dei mostri selvaggi / storia e illustrazioni di Maurice Sendak ; traduzione di Antonio Porta. - Milano : Babalibri, 1999. - [40] p. : in gran parte ill. ; 24x25 cm",Monografia,Letteratura per ragazzi,30,54,2
264611,"*Guizzino / Leo Lionni. - Milano : Babalibri, [2006]. - [29] p. : ill. ; 28 cm",Monografia,Letteratura per ragazzi,30,43,3
795726,"*Io vado! / Matthieu Maudet ; [traduzione di Federica Rocca]. - Milano : Babalibri, 2015. - [26] p. : cartone, in gran parte ill. ; 19 x 19 cm. ((Premio Nazionale Nati per Leggere 2017 - Sezione Crescere con i libri",Monografia,Letteratura per ragazzi,30,41,4
823950,"Le *otto montagne / Paolo Cognetti. - Torino : Einaudi, 2016. - 199 p. ; 22 cm.",Monografia,NA,30,35,5
863474,"*Macerie prime / Zerocalcare. - Ed. regular. - Milano : Bao, 2017. - 185 p. : fumetti ; 25 cm",Monografia,Letteratura per ragazzi,30,33,6
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,30,32,7
91688,"*Che rabbia! / Mireille d'Allance ; [traduzione di Anna Morpurgo]. - Milano : Babalibri, c2000. - 1 volume : ill. ; 27 cm",Monografia,Letteratura per ragazzi,30,28,8
178824,"*Sono io il piu forte! / Mario Ramos. - Milano : Babalibri, [2002]. - [13] c. : ill. ; 25 cm. ((Trad. di Federica Rocca.",Monografia,Letteratura per ragazzi,30,28,9
337636,"*Pappamolla / Stephanie Blake. - Milano : Babalibri, [2008]. - [36] p. : ill ; 29 cm. ((Trad. di Federica Rocca.",Monografia,Letteratura per ragazzi,30,28,10
355474,"*Blub, blub, blub / Yuichi Kasano. - Milano : Babalibri, [2009]. - [26] p. : in gran parte ill. ; 22x21 cm. ((Trad. di Su Kimura.",Monografia,Letteratura per ragazzi,30,28,11
713338,"*Orso, buco! / di Nicola Grossi ; con Silvia Borando e Lorenzo Clerici. - Reggio Emilia : Minibombo, 2013. - [40] p. : in gran parte ill. ; 21 x 21 cm",Monografia,Letteratura per ragazzi,30,28,12
739650,"*Dimentica il mio nome / Zerocalcare [i.e. Michele Rech]. - Milano : Bao Publishing, 2014. - 235 p. : fumetti ; 25 cm.",Monografia,NA,30,28,13
806757,"*Come? Cosa? / Fabian Negrin. - Roma : Orecchio acerbo, 2016. - [36] p. : in gran parte ill. ; 32 cm",Monografia,Letteratura per ragazzi,30,28,14
723190,"I *cinque Malfatti / Beatrice Alemagna. - Milano : Topipittori, 2014. - [36] p. : in gran parte ill. ; 32 cm. ((Testo stampato maiuscolo",Monografia,Letteratura per ragazzi,30,28,15
221438,"*Ventimila leghe sotto i mari / Jules Verne ; voci narranti del romanzo Maria Teresa Borsò ... [et al.]. - [Roma] : Associazione culturale F.A.T.E., [2003]. - 14 compact disc (ca. 14 h. compless.) : son. ((Tit del contenitore. - Contiene: CD 1.: p.te 1., prefazione, capp. 1.-4., 5.(p.te 1.); CD 2.:capp. 5. (p.te 2.), 6.-9.; CD 3.: capp. 10.-13.; CD 4.: capp. 14.-16.; CD 5.: capp. 17.-19.; CD 6.: capp. 20.-21.; CD 7.: capp. 22.-24.; CD 8.: p.te 2., capp. 1.-4.; CD 9.: 5.-8.; CD 10.: capp. 9.-11.; CD 11.: capp. 12.-14. (p.te 1.); CD 12.: capp. 14. (p.te 2.), 15.-17.; CD 13.: capp. 18.-20.; CD 14.: capp. 21.-23.",Monografia,NA,30,28,16
746986,"3: *Storia di chi fugge e di chi resta : *tempo di mezzo / Elena Ferrante. - Roma : E/O, 2013. - 382 p. ; 21 cm.",Monografia,NA,30,27,17
233250,"*Mangerei volentieri un bambino / Sylviane Donnio ; illustrazioni di Dorothée de Monfreid. - Milano : Babalibri, c2005. - [12] c. : ill. ; 23 x 28 cm. ((Trad. di Federica Rocca. - Senza paginazione.",Monografia,Letteratura per ragazzi,30,26,18
806868,"*Kobane calling / Zerocalcare. - Milano : Bao publishing, 2016. - 262 p. : fumetti ; 27 cm",Monografia,NA,30,26,19
841203,"La *più amata : romanzo / Teresa Ciabatti. - Milano : Mondadori, 2017. - 218 p. ; 24 cm. ((A pagina IV di copertina: eBook disponibile",Monografia,NA,30,26,20
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,40,74,1
823950,"Le *otto montagne / Paolo Cognetti. - Torino : Einaudi, 2016. - 199 p. ; 22 cm.",Monografia,NA,40,63,2
866415,"La *ragazza con la Leica : romanzo / Helena Janeczek. - Milano : Guanda, 2017. - 333 p. : ill. ; 22 cm",Monografia,NA,40,55,3
653497,"*Piccolo blu e piccolo giallo / Leo Lionni. - Milano : Babalibri, 1999. - 1 volume : in gran parte ill. ; 21 x 21 cm",Monografia,Letteratura per ragazzi,40,54,4
746987,"4: *Storia della bambina perduta : maturità - vecchiaia / Elena Ferrante. - Roma : E/O, 2014. - 451 p. ; 21 cm",Monografia,NA,40,46,5
853657,"*Nel paese dei mostri selvaggi / storia e illustrazioni di Maurice Sendak ; traduzione di Antonio Porta. - Milano : Babalibri, 1999. - [40] p. : in gran parte ill. ; 24x25 cm",Monografia,Letteratura per ragazzi,40,43,6
598084,"*Cornabicorna / una storia scritta da Pierre Bertrand ; illustrata da Magali Bonniol. - Milano : Babalibri, 2012. - [30] p. : ill. ; 26 x 31 cm. ((Traduzione di Federica Rocca",Monografia,NA,40,41,7
